S.No.,Property type,No_of_Beds,Bathroom
245,condo,2.00,2.00
246,condo,2.00,1.00
247,condo,0.00,1.00
248,condo,3.00,3.50
249,condo,1.00,1.00
250,condo,3.00,2.00
251,condo,2.00,1.00
252,condo,2.00,1.00
253,condo,3.00,2.00
254,condo,2.00,2.00
255,condo,2.00,2.00
256,condo,2.00,1.00
257,condo,1.00,1.00
258,condo,2.00,2.00
259,condo,3.00,2.50
260,condo,1.00,1.00
261,condo,2.00,2.00
262,condo,2.00,2.00
263,condo,2.00,1.00
264,condo,1.00,1.00
265,condo,3.00,1.00
266,condo,3.00,3.50
267,condo,2.00,2.00
268,condo,2.00,1.00
269,condo,3.00,2.00
270,condo,2.00,2.00
271,condo,1.00,1.00
272,condo,1.00,1.00
273,condo,3.00,3.50
274,condo,2.00,2.50
275,condo,3.00,2.00
276,condo,0.00,1.00
277,condo,2.00,2.00
278,condo,4.00,2.50
279,condo,1.00,1.00
280,condo,1.00,1.50
281,condo,2.00,1.50
282,condo,1.00,1.00
283,condo,2.00,2.00
284,condo,4.00,3.00
285,condo,2.00,2.00
286,condo,1.00,1.00
287,condo,2.00,1.00
288,condo,2.00,2.00
289,condo,3.00,3.00
290,condo,3.00,2.00
291,condo,2.00,2.00
292,condo,4.00,2.50
293,condo,3.00,2.50
294,condo,2.00,1.00
295,condo,2.00,2.00
296,condo,3.00,2.50
297,condo,0.00,1.00
298,condo,2.00,2.00
299,condo,1.00,1.00
300,condo,3.00,2.00
301,condo,1.00,1.00
302,condo,2.00,1.00
303,condo,1.00,1.00
304,condo,3.00,2.50
305,condo,4.00,2.50
306,condo,2.00,2.00
307,condo,3.00,2.00
308,condo,3.00,2.00
309,condo,2.00,1.50
310,condo,2.00,2.00
311,condo,1.00,1.00
312,condo,2.00,1.00
313,condo,3.00,2.00
314,condo,3.00,2.00
315,condo,2.00,2.00
316,condo,3.00,2.50
317,condo,2.00,2.00
318,condo,1.00,1.00
319,condo,2.00,2.00
320,condo,3.00,3.00
321,house,4.00,2.50
322,house,4.00,3.50
323,house,4.00,2.00
324,house,3.00,1.50
325,house,0.00,1.00
326,house,4.00,2.00
327,house,3.00,2.00
328,house,3.00,1.00
329,house,3.00,2.00
330,house,3.00,1.50
331,house,6.00,2.50
332,house,4.00,1.50
333,house,2.00,2.50
334,house,3.00,2.50
335,house,6.00,2.00
336,house,3.00,1.50
337,house,3.00,1.50
338,house,3.00,1.00
339,house,3.00,3.00
340,house,5.00,2.50
341,house,3.00,1.50
342,house,5.00,3.50
343,house,4.00,3.00
344,house,4.00,2.50
345,house,4.00,3.00
346,house,3.00,1.00
347,house,5.00,4.50
348,house,3.00,3.50
349,house,2.00,1.50
350,house,5.00,3.50
351,house,2.00,1.50
352,house,4.00,1.50
353,house,3.00,4.50
354,house,6.00,2.50
355,house,5.00,3.50
356,house,3.00,2.00
357,house,3.00,2.50
358,house,8.00,4.00
359,house,3.00,2.50
360,house,4.00,4.00
361,house,4.00,2.50
362,house,7.00,1.50
363,house,3.00,2.50
364,house,3.00,2.50
365,house,3.00,2.50
366,house,6.00,4.50
367,house,3.00,2.50
368,house,3.00,2.50
369,house,3.00,1.00
370,house,4.00,2.00
371,house,4.00,4.00
372,house,3.00,1.50
373,house,4.00,3.50
374,house,6.00,6.50
375,house,3.00,1.50
376,house,4.00,2.50
377,house,2.00,1.00
378,house,3.00,2.50
379,house,3.00,2.50
380,house,4.00,4.50
381,house,4.00,3.00
382,house,2.00,2.00
383,house,4.00,2.00
384,house,3.00,2.50
385,house,4.00,4.50
386,house,4.00,4.50
