S.No.,Property type,No_of_Beds,Bathroom
1101,house,6.00,6.50
1102,house,6.00,3.00
1103,house,5.00,4.00
1104,house,4.00,3.50
1105,house,3.00,1.00
1106,house,3.00,2.50
1107,house,5.00,5.50
1108,house,4.00,3.50
1109,house,2.00,2.00
1110,house,3.00,2.00
1111,house,4.00,3.00
1112,house,4.00,3.00
1113,house,3.00,3.00
1114,house,2.00,2.00
1115,house,7.00,8.00
1116,house,4.00,3.00
1117,house,5.00,3.50
1118,house,5.00,4.50
1119,house,3.00,3.00
1120,house,5.00,4.50
1121,house,5.00,4.00
1122,house,4.00,3.50
1123,house,4.00,2.00
1124,house,5.00,6.00
1125,house,3.00,2.00
1126,house,2.00,1.00
1127,house,3.00,2.50
1128,house,8.00,2.00
1129,house,4.00,2.50
1130,house,3.00,1.00
1131,house,4.00,3.00
1132,house,5.00,3.00
1133,house,5.00,3.00
1134,house,10.00,3.00
1135,house,3.00,2.00
1136,house,4.00,3.00
1137,house,5.00,4.50
1138,house,2.00,1.00
1139,house,4.00,2.00
1140,house,3.00,2.00
1141,house,2.00,1.50
1142,house,4.00,3.00
1143,house,6.00,3.50
1144,house,2.00,1.50
1145,house,4.00,3.00
1146,house,7.00,7.00
1147,house,3.00,2.00
1148,house,5.00,5.50
1149,house,4.00,1.00
1150,house,2.00,1.00
1151,house,3.00,2.00
1152,house,3.00,2.00
1153,house,3.00,2.00
1154,house,4.00,3.50
1155,house,3.00,2.50
1156,house,4.00,2.00
1157,house,3.00,2.00
1158,house,6.00,3.00
1159,house,5.00,4.00
1160,house,4.00,4.50
1161,house,4.00,3.00
1162,house,4.00,3.50
1163,house,4.00,3.00
1164,house,2.00,2.00
1165,house,5.00,3.00
1166,house,5.00,3.50
1167,house,3.00,3.00
1168,house,3.00,3.00
1169,house,3.00,1.00
1170,house,4.00,3.00
1171,house,4.00,2.50
1172,house,3.00,2.50
1173,house,3.00,2.00
1174,house,3.00,1.00
1175,house,4.00,4.50
1176,house,4.00,3.00
1177,house,6.00,6.50
1178,house,3.00,2.00
1179,house,6.00,8.00
1180,house,7.00,6.50
1181,house,2.00,2.00
1182,house,3.00,2.00
1183,house,3.00,2.00
1184,house,3.00,1.50
1185,house,3.00,2.00
1186,house,3.00,2.50
1187,house,6.00,5.50
1188,house,3.00,2.50
1189,house,6.00,3.00
1190,house,4.00,2.00
1191,house,3.00,2.50
1192,house,5.00,3.00
1193,house,3.00,2.00
1194,house,3.00,1.50
1195,house,4.00,5.00
1196,house,3.00,2.50
1197,house,3.00,3.50
1198,house,4.00,3.50
1199,house,4.00,3.00
1200,house,3.00,1.50
1201,condo,3.00,2.00
1202,condo,3.00,2.00
1203,condo,2.00,1.00
1204,condo,1.00,1.00
1205,condo,2.00,2.00
1206,condo,3.00,1.50
1207,condo,2.00,1.00
1208,condo,3.00,3.00
1209,condo,1.00,1.00
1210,condo,3.00,2.00
1211,condo,2.00,1.00
1212,condo,1.00,1.00
1213,condo,2.00,2.00
1214,condo,2.00,2.00
1215,condo,5.00,3.00
1216,condo,1.00,1.00
1217,condo,3.00,1.00
1218,condo,1.00,1.00
1219,condo,0.00,1.00
1220,condo,2.00,1.00
1221,condo,2.00,2.00
1222,condo,2.00,2.00
1223,condo,1.00,1.00
1224,condo,3.00,2.00
1225,condo,3.00,2.00
1226,condo,3.00,3.00
1227,condo,1.00,2.00
1228,condo,2.00,1.00
1229,condo,0.00,1.00
1230,condo,2.00,2.00
1231,condo,2.00,2.00
1232,condo,1.00,1.00
1233,condo,2.00,2.00
1234,condo,2.00,1.00
1235,condo,2.00,2.00
1236,condo,2.00,2.00
1237,condo,1.00,1.00
1238,condo,1.00,1.00
1239,condo,2.00,2.00
1240,condo,2.00,1.00
1241,condo,2.00,1.00
1242,condo,0.00,2.00
1243,condo,3.00,2.00
1244,condo,3.00,1.50
1245,condo,2.00,1.00
1246,condo,2.00,2.00
1247,condo,0.00,1.00
1248,condo,1.00,1.00
1249,condo,1.00,1.00
1250,condo,1.00,1.00
1251,condo,2.00,1.50
1252,condo,2.00,1.00
1253,condo,2.00,1.00
1254,condo,1.00,1.00
1255,condo,2.00,2.50
1256,condo,2.00,2.00
1257,condo,2.00,2.00
1258,condo,2.00,2.00
1259,condo,3.00,3.00
1260,condo,1.00,1.00
1261,condo,1.00,1.00
1262,condo,1.00,1.00
1263,condo,2.00,1.50
1264,condo,2.00,2.00
1265,condo,2.00,2.50
1266,condo,1.00,1.00
1267,condo,3.00,2.00
1268,condo,1.00,1.00
1269,condo,2.00,1.00
1270,condo,2.00,2.00
1271,condo,1.00,1.00
1272,condo,1.00,1.00
1273,condo,1.00,1.00
1274,condo,2.00,2.00
1275,condo,1.00,1.00
1276,condo,2.00,2.00
1277,condo,1.00,1.00
1278,condo,2.00,2.00
1279,condo,2.00,3.00
1280,condo,2.00,1.00
1281,condo,3.00,2.00
1282,condo,2.00,2.00
1283,condo,1.00,1.00
1284,condo,2.00,1.50
1285,condo,2.00,2.50
1286,condo,2.00,2.00
1287,condo,3.00,2.00
1288,condo,2.00,2.00
1289,condo,2.00,2.50
1290,condo,2.00,2.00
1291,condo,2.00,1.50
1292,condo,1.00,1.00
1293,condo,1.00,1.00
1294,condo,3.00,3.00
1295,condo,2.00,2.00
1296,condo,3.00,3.00
1297,condo,2.00,1.00
1298,condo,3.00,2.00
1299,condo,2.00,2.00
1300,condo,2.00,1.00
1301,condo,2.00,2.50
1302,condo,2.00,1.00
1303,condo,3.00,2.00
1304,condo,2.00,2.00
1305,condo,2.00,2.00
1306,condo,1.00,1.00
1307,condo,2.00,1.00
1308,condo,2.00,2.00
1309,condo,2.00,2.00
1310,condo,2.00,2.00
1311,condo,3.00,2.00
1312,condo,2.00,2.00
1313,condo,2.00,2.00
1314,condo,2.00,1.00
1315,condo,2.00,2.00
1316,condo,2.00,2.00
1317,condo,1.00,1.00
1318,condo,1.00,1.00
1319,condo,1.00,1.00
1320,condo,2.00,3.00
1321,condo,1.00,1.00
1322,condo,1.00,1.00
1323,condo,1.00,2.00
1324,condo,1.00,2.00
1325,condo,1.00,1.00
1326,condo,3.00,1.50
1327,condo,3.00,2.00
1328,condo,1.00,1.00
1329,condo,2.00,1.00
1330,condo,2.00,1.50
1331,condo,2.00,2.00
1332,condo,3.00,3.00
1333,condo,2.00,2.00
1334,condo,0.00,1.00
1335,condo,2.00,2.00
1336,condo,1.00,1.00
1337,condo,0.00,1.00
1338,condo,2.00,2.00
1339,condo,3.00,2.00
1340,condo,2.00,1.00
1341,condo,1.00,2.00
1342,condo,2.00,2.00
1343,condo,1.00,1.00
1344,condo,2.00,2.00
1345,condo,2.00,2.00
1346,condo,2.00,2.00
1347,condo,2.00,1.00
1348,condo,2.00,2.00
1349,condo,2.00,2.00
1350,condo,1.00,1.00
1351,condo,0.00,1.00
1352,condo,2.00,1.00
1353,condo,3.00,2.00
1354,condo,2.00,2.00
1355,condo,1.00,1.00
1356,condo,2.00,1.50
1357,condo,2.00,2.00
1358,condo,1.00,1.00
1359,condo,2.00,2.00
1360,condo,1.00,1.00
1361,condo,1.00,1.00
1362,condo,2.00,1.50
1363,condo,2.00,2.00
1364,condo,3.00,3.00
1365,condo,3.00,2.50
1366,condo,2.00,2.00
1367,condo,2.00,1.00
1368,condo,2.00,2.00
1369,condo,1.00,1.00
1370,condo,2.00,2.00
1371,condo,3.00,3.50
1372,condo,2.00,2.00
1373,condo,2.00,2.00
1374,condo,3.00,3.00
1375,condo,2.00,2.00
1376,condo,1.00,1.00
1377,condo,2.00,1.50
1378,condo,3.00,2.00
1379,condo,2.00,2.00
1380,condo,1.00,1.00
1381,condo,2.00,1.00
1382,condo,2.00,1.00
1383,condo,2.00,2.00
1384,condo,3.00,1.50
1385,condo,3.00,1.50
1386,condo,2.00,2.00
1387,condo,1.00,1.00
1388,condo,3.00,2.00
1389,condo,2.00,2.00
1390,condo,2.00,2.00
1391,condo,1.00,1.00
1392,condo,2.00,1.00
1393,condo,1.00,1.00
1394,condo,1.00,1.00
1395,condo,2.00,1.50
1396,condo,3.00,2.00
1397,condo,2.00,2.00
1398,condo,2.00,2.00
1399,condo,2.00,2.00
1400,condo,2.00,2.00
1401,condo,3.00,2.00
1402,condo,2.00,2.00
1403,condo,3.00,1.00
1404,condo,3.00,2.00
1405,condo,2.00,2.00
1406,condo,2.00,2.00
1407,condo,1.00,1.00
1408,condo,3.00,2.50
1409,condo,2.00,2.00
1410,condo,1.00,1.00
1411,condo,2.00,2.00
1412,condo,3.00,2.00
1413,condo,2.00,2.00
1414,condo,0.00,1.00
1415,condo,3.00,2.00
1416,condo,2.00,1.00
1417,condo,3.00,2.00
1418,condo,2.00,2.00
1419,condo,3.00,3.00
1420,condo,2.00,2.00
1421,condo,3.00,2.00
1422,condo,3.00,2.00
1423,condo,2.00,2.00
1424,condo,3.00,3.50
1425,condo,0.00,1.50
1426,condo,1.00,1.50
1427,condo,3.00,2.00
1428,condo,3.00,2.00
1429,condo,3.00,2.00
1430,condo,1.00,1.00
1431,condo,2.00,2.00
1432,condo,1.00,1.00
1433,condo,2.00,1.00
1434,condo,1.00,1.00
1435,condo,0.00,0.50
1436,condo,3.00,2.00
1437,condo,3.00,2.00
1438,condo,2.00,1.00
1439,condo,2.00,2.00
1440,condo,2.00,1.00
1441,condo,3.00,2.00
1442,condo,3.00,2.00
1443,condo,3.00,2.00
1444,condo,3.00,2.00
1445,condo,2.00,2.00
1446,condo,3.00,2.00
1447,condo,3.00,2.00
1448,condo,3.00,2.00
1449,condo,3.00,2.00
1450,condo,3.00,2.00
1451,condo,3.00,2.00
1452,condo,3.00,2.00
1453,condo,3.00,2.00
1454,condo,3.00,2.00
1455,condo,3.00,2.00
1456,condo,3.00,2.00
1457,condo,3.00,2.00
1458,condo,3.00,2.00
1459,condo,3.00,2.00
1460,condo,3.00,2.00
1461,condo,3.00,2.00
1462,condo,3.00,2.00
1463,condo,3.00,2.00
1464,condo,2.00,2.00
1465,condo,3.00,2.00
1466,condo,3.00,2.00
1467,condo,3.00,2.00
1468,condo,3.00,2.00
1469,condo,3.00,2.00
1470,condo,2.00,1.00
1471,condo,3.00,2.00
1472,condo,3.00,2.00
1473,condo,3.00,2.00
1474,condo,3.00,2.00
1475,condo,3.00,2.00
1476,condo,3.00,2.00
1477,condo,3.00,2.00
1478,condo,3.00,2.00
1479,condo,2.00,2.00
1480,condo,2.00,2.00
1481,condo,1.00,1.00
1482,condo,3.00,2.00
1483,condo,2.00,2.00
1484,condo,3.00,2.00
1485,condo,2.00,2.00
1486,condo,3.00,2.00
1487,condo,2.00,1.00
1488,condo,3.00,2.00
1489,condo,3.00,2.00
1490,condo,3.00,2.00
1491,condo,2.00,1.00
1492,condo,3.00,2.00
1493,condo,3.00,2.00
1494,condo,2.00,1.00
1495,condo,2.00,1.00
1496,condo,2.00,1.00
1497,condo,2.00,2.00
1498,condo,2.00,2.00
1499,condo,3.00,2.00
1500,condo,3.00,2.00
1501,condo,3.00,2.00
1502,condo,3.00,2.00
1503,condo,2.00,3.50
1504,condo,3.00,2.00
1505,condo,3.00,2.00
1506,condo,2.00,2.00
1507,condo,2.00,1.00
1508,condo,3.00,2.00
1509,condo,4.00,3.00
1510,condo,1.00,1.00
1511,condo,3.00,2.00
1512,condo,2.00,2.00
1513,condo,3.00,2.00
1514,condo,3.00,2.00
1515,condo,3.00,2.00
1516,condo,3.00,2.00
1517,condo,1.00,1.00
1518,condo,4.00,3.00
1519,condo,4.00,2.00
1520,condo,2.00,1.00
1521,condo,3.00,2.00
1522,condo,3.00,2.00
1523,condo,2.00,2.00
1524,condo,2.00,1.00
1525,condo,3.00,2.00
1526,condo,3.00,2.00
1527,condo,3.00,2.00
1528,condo,3.00,2.00
1529,condo,3.00,2.00
1530,condo,2.00,1.00
1531,condo,3.00,2.00
1532,condo,4.00,3.00
1533,condo,3.00,2.00
1534,condo,3.00,2.00
1535,condo,2.00,2.00
1536,condo,3.00,2.00
1537,condo,3.00,2.00
1538,condo,3.00,2.00
1539,condo,3.00,2.00
1540,condo,3.00,2.00
1541,condo,3.00,2.00
1542,condo,3.00,2.00
1543,condo,3.00,2.00
1544,condo,3.00,2.00
1545,condo,4.00,3.00
1546,condo,3.00,2.00
1547,condo,3.00,2.00
1548,condo,3.00,2.00
1549,condo,3.00,2.00
1550,condo,3.00,2.00
1551,condo,3.00,2.00
1552,condo,3.00,2.00
1553,condo,3.00,2.00
1554,condo,3.00,2.00
1555,condo,3.00,2.00
1556,condo,3.00,2.00
1557,condo,3.00,2.00
1558,condo,3.00,2.00
1559,condo,3.00,2.00
1560,condo,3.00,2.00
1561,condo,3.00,2.00
1562,condo,3.00,2.00
1563,condo,3.00,2.00
1564,condo,1.00,1.00
1565,condo,3.00,2.00
1566,condo,4.00,3.00
1567,condo,3.00,2.00
1568,condo,3.00,2.00
1569,condo,2.00,1.00
1570,condo,2.00,1.00
1571,condo,3.00,2.00
1572,condo,2.00,2.00
1573,condo,2.00,1.00
1574,condo,3.00,2.00
1575,condo,2.00,1.00
1576,condo,2.00,1.00
1577,condo,3.00,2.00
1578,condo,2.00,2.00
1579,condo,3.00,2.00
1580,condo,3.00,2.00
1581,condo,3.00,2.00
1582,condo,3.00,2.00
1583,condo,3.00,2.00
1584,condo,3.00,2.00
1585,condo,3.00,2.00
1586,condo,3.00,2.00
1587,condo,3.00,2.00
1588,condo,3.00,2.00
1589,condo,3.00,2.00
1590,condo,3.00,2.00
1591,condo,2.00,2.50
1592,condo,3.00,2.00
1593,condo,2.00,3.00
1594,condo,3.00,2.00
1595,condo,2.00,1.50
1596,condo,3.00,2.00
1597,condo,3.00,2.00
1598,condo,3.00,2.00
1599,condo,3.00,2.00
1600,condo,3.00,2.00
1601,condo,2.00,1.00
1602,condo,3.00,2.00
1603,condo,2.00,1.00
1604,condo,3.00,3.50
1605,condo,2.00,2.50
1606,condo,2.00,2.50
1607,condo,3.00,2.00
1608,condo,3.00,2.00
1609,condo,3.00,2.00
1610,condo,3.00,2.00
1611,condo,3.00,2.00
1612,condo,3.00,2.00
1613,condo,3.00,2.00
1614,condo,3.00,2.00
1615,condo,2.00,2.00
1616,condo,3.00,2.00
1617,condo,2.00,1.00
1618,condo,3.00,2.00
1619,condo,2.00,1.00
1620,condo,3.00,2.00
1621,condo,3.00,2.00
1622,condo,3.00,2.00
1623,condo,3.00,2.00
1624,condo,3.00,2.00
1625,condo,3.00,2.00
1626,condo,3.00,2.00
1627,condo,3.00,2.00
1628,condo,3.00,2.00
1629,condo,2.00,1.00
1630,condo,3.00,1.00
1631,condo,3.00,2.00
1632,condo,3.00,2.00
1633,condo,3.00,2.00
1634,condo,3.00,2.00
1635,condo,3.00,2.00
1636,condo,3.00,2.00
1637,condo,3.00,2.00
1638,condo,2.00,1.00
1639,condo,3.00,2.00
1640,condo,3.00,3.00
1641,house,3.00,1.50
1642,house,3.00,1.00
1643,house,4.00,3.00
1644,house,4.00,2.00
1645,house,3.00,1.50
1646,house,3.00,2.00
1647,house,3.00,2.50
1648,house,3.00,2.00
1649,house,2.00,1.00
1650,house,3.00,1.00
1651,house,3.00,2.00
1652,house,4.00,4.50
1653,house,3.00,1.50
1654,house,3.00,3.00
1655,house,4.00,2.50
1656,house,4.00,2.00
1657,house,3.00,1.00
1658,house,4.00,2.00
1659,house,4.00,2.00
1660,house,5.00,2.50
1661,house,4.00,2.50
1662,house,3.00,1.50
1663,house,3.00,2.00
1664,house,3.00,1.50
1665,house,3.00,2.00
1666,house,2.00,2.00
1667,house,2.00,2.00
1668,house,2.00,1.00
1669,house,4.00,1.50
1670,house,2.00,1.00
1671,house,3.00,2.00
1672,house,3.00,2.00
1673,house,4.00,6.00
1674,house,4.00,2.50
1675,house,3.00,2.00
1676,house,3.00,2.00
1677,house,3.00,2.00
1678,house,5.00,3.00
1679,house,3.00,2.00
1680,house,3.00,1.00
1681,house,3.00,2.50
1682,house,3.00,1.00
1683,house,3.00,2.00
1684,house,4.00,3.50
1685,house,4.00,2.00
1686,house,3.00,2.00
1687,house,3.00,2.00
1688,house,4.00,2.50
1689,house,2.00,2.50
1690,house,3.00,2.00
1691,house,3.00,2.00
1692,house,3.00,2.00
1693,house,3.00,2.00
1694,house,3.00,2.50
1695,house,3.00,2.00
1696,house,5.00,4.50
1697,house,4.00,3.50
1698,house,4.00,2.00
1699,house,4.00,3.50
1700,house,3.00,2.50
1701,house,3.00,2.00
1702,house,3.00,2.00
1703,house,3.00,2.00
1704,house,3.00,1.50
1705,house,3.00,2.00
1706,house,4.00,2.50
1707,house,5.00,3.00
1708,house,3.00,1.00
1709,house,4.00,3.50
1710,house,4.00,2.00
1711,house,3.00,2.00
1712,house,4.00,3.00
1713,house,2.00,1.00
1714,house,5.00,4.50
1715,house,4.00,2.00
1716,house,6.00,8.00
1717,house,3.00,2.50
1718,house,4.00,2.00
1719,house,4.00,2.00
1720,house,4.00,2.00
1721,house,2.00,1.00
1722,house,3.00,1.00
1723,house,4.00,2.00
1724,house,5.00,2.00
1725,house,3.00,2.00
1726,house,5.00,3.50
1727,house,4.00,3.00
1728,house,4.00,2.50
1729,house,3.00,1.00
1730,house,3.00,2.00
1731,house,3.00,2.00
1732,house,4.00,2.00
1733,house,5.00,3.50
1734,house,4.00,2.00
1735,house,3.00,1.00
1736,house,4.00,6.00
1737,house,3.00,1.00
1738,house,2.00,2.50
1739,house,4.00,3.00
1740,house,3.00,2.00
1741,house,2.00,1.00
1742,house,2.00,1.00
1743,house,3.00,1.50
1744,house,4.00,3.00
1745,house,4.00,2.00
1746,house,6.00,4.00
1747,house,2.00,1.00
1748,house,2.00,1.00
1749,house,2.00,1.00
1750,house,3.00,1.00
1751,house,2.00,1.00
1752,house,2.00,1.00
1753,house,3.00,2.00
1754,house,2.00,1.00
1755,house,6.00,3.50
1756,house,3.00,2.00
1757,house,3.00,2.00
1758,house,3.00,2.00
1759,house,4.00,2.00
1760,house,2.00,1.00
1761,house,4.00,2.00
1762,house,3.00,1.00
1763,house,4.00,1.50
1764,house,3.00,2.00
1765,house,3.00,2.00
1766,house,4.00,4.50
1767,house,3.00,1.00
1768,house,3.00,1.00
1769,house,2.00,1.00
1770,house,3.00,1.00
1771,house,3.00,1.00
1772,house,3.00,2.00
1773,house,3.00,1.00
1774,house,3.00,2.00
1775,house,3.00,2.00
1776,house,3.00,2.00
1777,house,2.00,1.00
1778,house,3.00,1.00
1779,house,3.00,1.00
1780,house,3.00,1.00
1781,house,3.00,2.00
1782,house,3.00,1.00
1783,house,3.00,2.00
1784,house,3.00,1.00
1785,house,3.00,1.00
1786,house,2.00,1.00
1787,house,3.00,1.00
1788,house,4.00,2.00
1789,house,3.00,2.00
1790,house,2.00,1.00
1791,house,3.00,2.00
1792,house,4.00,2.00
1793,house,3.00,2.00
1794,house,3.00,2.00
1795,house,4.00,3.50
1796,house,3.00,1.00
1797,house,3.00,2.00
1798,house,3.00,1.00
1799,house,3.00,2.00
1800,house,2.00,1.00
1801,house,2.00,1.00
1802,house,4.00,2.50
1803,house,4.00,3.50
1804,house,3.00,2.00
1805,house,4.00,2.50
1806,house,3.00,2.00
1807,house,4.00,2.50
1808,house,3.00,3.00
1809,house,3.00,2.00
1810,house,2.00,1.00
1811,house,3.00,2.00
1812,house,2.00,1.00
1813,house,3.00,1.00
1814,house,5.00,2.50
1815,house,4.00,2.00
1816,house,4.00,3.00
1817,house,3.00,2.50
1818,house,4.00,3.50
1819,house,4.00,2.50
1820,house,3.00,2.00
1821,house,3.00,2.00
1822,house,3.00,1.00
1823,house,4.00,2.00
1824,house,3.00,2.00
1825,house,3.00,2.00
1826,house,3.00,1.00
1827,house,3.00,2.00
1828,house,3.00,1.00
1829,house,5.00,2.00
1830,house,3.00,2.00
1831,house,5.00,3.50
1832,house,3.00,2.00
1833,house,4.00,2.50
1834,house,4.00,3.50
1835,house,3.00,2.00
1836,house,3.00,2.00
1837,house,3.00,1.50
1838,house,3.00,2.00
1839,house,3.00,1.50
1840,house,3.00,2.50
1841,house,3.00,1.50
1842,house,3.00,2.00
1843,house,4.00,2.50
1844,house,3.00,2.00
1845,house,3.00,2.00
1846,house,4.00,2.00
1847,house,3.00,2.00
1848,house,3.00,1.50
1849,house,3.00,2.00
1850,house,4.00,2.00
1851,house,5.00,3.00
1852,house,3.00,1.00
1853,house,4.00,2.50
1854,house,3.00,2.00
1855,house,3.00,2.00
1856,house,3.00,2.00
1857,house,4.00,3.00
1858,house,3.00,2.00
1859,house,3.00,2.00
1860,house,3.00,1.00
1861,house,4.00,4.50
1862,house,3.00,2.50
1863,house,3.00,2.00
1864,house,4.00,2.50
1865,house,3.00,2.00
1866,house,3.00,2.00
1867,house,2.00,1.00
1868,house,4.00,2.50
1869,house,3.00,3.00
1870,house,3.00,1.00
1871,house,3.00,1.00
1872,house,3.00,1.00
1873,house,4.00,1.00
1874,house,3.00,1.00
1875,house,4.00,3.00
1876,house,3.00,2.50
1877,house,4.00,2.50
1878,house,3.00,3.00
1879,house,4.00,3.50
1880,house,4.00,2.00
1881,house,3.00,3.00
1882,house,3.00,1.50
1883,house,5.00,2.50
1884,house,3.00,2.50
1885,house,4.00,2.50
1886,house,3.00,2.00
1887,house,3.00,2.00
1888,house,3.00,3.00
1889,house,3.00,2.00
1890,house,2.00,1.00
1891,house,3.00,1.00
1892,house,3.00,2.00
1893,house,3.00,1.00
1894,house,3.00,1.00
1895,house,4.00,2.50
1896,house,3.00,2.00
1897,house,3.00,1.50
1898,house,4.00,3.50
1899,house,4.00,2.00
1900,house,3.00,1.00
1901,house,3.00,2.00
1902,house,3.00,2.00
1903,house,4.00,3.50
1904,house,3.00,1.00
1905,house,3.00,1.00
1906,house,2.00,2.00
1907,house,3.00,1.50
1908,house,3.00,1.00
1909,house,3.00,1.00
1910,house,3.00,2.00
1911,house,3.00,1.00
1912,house,3.00,2.00
1913,house,3.00,1.00
1914,house,3.00,2.00
1915,house,4.00,2.00
1916,house,2.00,2.00
1917,house,3.00,1.50
1918,house,3.00,1.00
1919,house,3.00,1.00
1920,house,3.00,1.00
1921,condo,2.00,2.00
1922,condo,2.00,2.00
1923,condo,2.00,2.00
1924,condo,2.00,2.00
1925,condo,1.00,1.00
1926,condo,2.00,2.50
1927,condo,2.00,2.50
1928,condo,2.00,2.00
1929,condo,2.00,2.00
1930,condo,2.00,2.00
1931,condo,2.00,2.00
1932,condo,2.00,2.00
1933,condo,1.00,1.00
1934,condo,2.00,2.00
1935,condo,2.00,2.00
1936,condo,1.00,1.00
1937,condo,2.00,1.00
1938,condo,2.00,2.00
1939,condo,1.00,1.00
1940,condo,1.00,1.00
1941,condo,1.00,1.00
1942,condo,1.00,1.00
1943,condo,2.00,2.00
1944,condo,2.00,2.00
1945,condo,3.00,2.00
1946,condo,2.00,2.00
1947,condo,2.00,2.00
1948,condo,2.00,2.00
1949,condo,2.00,2.00
1950,condo,3.00,2.00
1951,condo,2.00,2.00
1952,condo,0.00,1.00
1953,condo,1.00,1.00
1954,condo,2.00,2.00
1955,condo,2.00,2.00
1956,condo,2.00,2.00
1957,condo,2.00,2.00
1958,condo,1.00,1.00
1959,condo,2.00,2.00
1960,condo,3.00,2.00
1961,condo,2.00,2.00
1962,condo,3.00,1.75
1963,condo,2.00,2.00
1964,condo,2.00,2.00
1965,condo,2.00,2.00
1966,condo,3.00,1.75
1967,condo,2.00,1.00
1968,condo,1.00,1.00
1969,condo,1.00,1.00
1970,condo,1.00,1.50
1971,condo,3.00,2.00
1972,condo,2.00,2.00
1973,condo,1.00,2.00
1974,condo,2.00,2.00
1975,condo,2.00,2.50
1976,condo,1.00,1.00
1977,condo,2.00,1.00
1978,condo,2.00,2.00
1979,condo,3.00,2.00
1980,condo,2.00,2.00
1981,condo,2.00,2.00
1982,condo,2.00,1.50
1983,condo,2.00,2.00
1984,condo,2.00,2.00
1985,condo,1.00,1.00
1986,condo,2.00,2.00
1987,condo,2.00,2.00
1988,condo,1.00,1.00
1989,condo,2.00,2.00
1990,condo,2.00,2.00
1991,condo,1.00,1.50
1992,condo,2.00,2.00
1993,condo,1.00,1.00
1994,condo,1.00,1.00
1995,condo,0.00,1.00
1996,condo,2.00,2.00
1997,condo,3.00,2.00
1998,condo,2.00,1.75
1999,condo,2.00,2.00
2000,condo,2.00,2.50
2001,condo,2.00,2.00
2002,condo,2.00,2.00
2003,condo,2.00,1.00
2004,condo,2.00,2.00
2005,condo,1.00,1.00
2006,condo,1.00,1.00
2007,condo,2.00,2.00
2008,condo,1.00,1.00
2009,condo,1.00,1.00
2010,condo,1.00,1.50
2011,condo,2.00,2.00
2012,condo,2.00,2.00
2013,condo,1.00,1.00
2014,condo,2.00,2.00
2015,condo,2.00,1.50
2016,condo,2.00,2.50
2017,condo,2.00,2.00
2018,condo,2.00,2.00
2019,condo,1.00,1.00
2020,condo,1.00,1.00
2021,condo,2.00,1.75
2022,condo,1.00,1.00
2023,condo,2.00,2.00
2024,condo,1.00,1.50
2025,condo,2.00,3.00
2026,condo,1.00,1.00
2027,condo,2.00,2.00
2028,condo,2.00,1.00
2029,condo,1.00,1.00
2030,condo,2.00,2.00
2031,condo,2.00,1.00
2032,condo,3.00,2.00
2033,condo,2.00,2.00
2034,condo,2.00,2.00
2035,condo,1.00,1.00
2036,condo,2.00,1.50
2037,condo,1.00,1.00
2038,condo,1.00,1.00
2039,condo,2.00,2.00
2040,condo,1.00,1.00
2041,condo,2.00,1.00
2042,condo,1.00,1.00
2043,condo,2.00,1.75
2044,condo,1.00,1.00
2045,condo,2.00,1.50
2046,condo,1.00,1.00
2047,condo,2.00,2.00
2048,condo,1.00,1.00
2049,condo,1.00,1.00
2050,condo,1.00,1.00
2051,condo,2.00,2.00
2052,condo,2.00,2.00
2053,condo,2.00,2.00
2054,condo,2.00,2.00
2055,condo,2.00,1.00
2056,condo,1.00,1.00
2057,condo,2.00,2.00
2058,condo,3.00,2.00
2059,condo,2.00,2.00
2060,condo,1.00,1.00
2061,condo,1.00,1.00
2062,condo,1.00,1.00
2063,condo,3.00,3.00
2064,condo,3.00,2.00
2065,condo,2.00,1.00
2066,condo,2.00,2.00
2067,condo,2.00,2.00
2068,condo,2.00,2.00
2069,condo,2.00,2.00
2070,condo,2.00,2.00
2071,condo,2.00,2.00
2072,condo,2.00,2.00
2073,condo,1.00,1.00
2074,condo,2.00,1.00
2075,condo,2.00,2.00
2076,condo,1.00,1.00
2077,condo,3.00,2.00
2078,condo,2.00,2.00
2079,condo,1.00,1.00
2080,condo,2.00,2.00
2081,condo,2.00,2.00
2082,condo,1.00,1.00
2083,condo,1.00,1.00
2084,condo,2.00,2.00
2085,condo,2.00,2.50
2086,condo,2.00,1.50
2087,condo,3.00,2.00
2088,condo,1.00,1.00
2089,condo,1.00,1.00
2090,condo,2.00,2.00
2091,condo,2.00,2.00
2092,condo,1.00,1.00
2093,condo,2.00,2.00
2094,condo,2.00,1.00
2095,condo,2.00,2.00
2096,condo,3.00,2.00
2097,condo,2.00,1.00
2098,condo,2.00,2.00
2099,condo,1.00,1.00
2100,condo,1.00,1.50
2101,condo,2.00,1.00
2102,condo,3.00,1.00
2103,condo,2.00,2.00
2104,condo,1.00,1.00
2105,condo,1.00,1.00
2106,condo,1.00,1.00
2107,condo,2.00,2.00
2108,condo,1.00,1.00
2109,condo,2.00,2.00
2110,condo,2.00,2.00
2111,condo,2.00,2.00
2112,condo,3.00,1.75
2113,condo,2.00,2.00
2114,condo,2.00,1.00
2115,condo,1.00,1.00
2116,condo,2.00,2.00
2117,condo,2.00,2.00
2118,condo,2.00,1.00
2119,condo,2.00,2.00
2120,condo,3.00,2.00
2121,condo,2.00,1.75
2122,condo,2.00,2.00
2123,condo,1.00,1.50
2124,condo,2.00,1.00
2125,condo,2.00,2.00
