S.No.,Price,Price (in Rs.),No_of_Beds,Address,City,State,State_Code
70,"$655,000.00",54731800.00,3.00,1450 N Bosworth Ave Unit 1R, Chicago,IL,60642
71,"$415,000.00",34677400.00,2.00,1935 N Fairfield Ave #304, Chicago,IL,60647
72,"$595,000.00",49718200.00,2.00,210 E Pearson St Unit 9C, Chicago,IL,60611
73,"$199,000.00",16628440.00,2.00,6400 N Ridge Blvd #201, Chicago,IL,60626
74,"$425,000.00",35513000.00,2.00,1610 W Byron St #1, Chicago,IL,60613
75,"$249,999.00",20889916.44,1.00,6 E Monroe St #1304, Chicago,IL,60603
76,"$350,000.00",29246000.00,1.00,360 W Illinois St #515, Chicago,IL,60654
77,"$399,500.00",33382220.00,2.00,345 W Fullerton Pkwy #1206, Chicago,IL,60614
78,"$499,000.00",41696440.00,2.00,1618 N Oakley Ave Unit 2N, Chicago,IL,60647
79,"$235,000.00",19636600.00,1.00,655 W Irving Park Rd #2516, Chicago,IL,60613
80,"$675,000.00",56403000.00,3.00,1600 N Bell Ave Unit 3B, Chicago,IL,60647
81,"$65,900.00",5506604.00,1.00,5 Randolph St Unit 3B, Oak Park,IL,60302
82,"$825,000.00",68937000.00,3.00,1723 W Le Moyne St #101, Chicago,IL,60622
83,"$165,000.00",13787400.00,2.00,7321 W Fullerton Ave #12, Elmwood Park,IL,60707
84,"$324,800.00",27140288.00,3.00,5209 S Ingleside Ave #2, Chicago,IL,60615
85,"$243,500.00",20346860.00,2.00,5020 N Austin Ave Unit 3I, Chicago,IL,60630
86,"$168,000.00",14038080.00,1.00,3216 W Berteau Ave #3, Chicago,IL,60618
87,"$565,000.00",47211400.00,3.00,1818 N Sawyer Ave Unit 1E, Chicago,IL,60647
88,"$489,000.00",40860840.00,3.00,820 N California Ave #4, Chicago,IL,60622
89,"$485,000.00",40526600.00,4.00,1505 N Maplewood Ave #1, Chicago,IL,60622
90,"$159,900.00",13361244.00,3.00,6051 S Eberhart Ave Unit 3S, Chicago,IL,60637
91,"$225,000.00",18801000.00,4.00,449 W Englewood Ave Unit B, Chicago,IL,60621
92,"$190,000.00",15876400.00,1.00,1223 W Lunt Ave Unit 3A, Chicago,IL,60626
93,"$320,000.00",26739200.00,1.00,1560 N Sandburg Ter Unit 4007J, Chicago,IL,60610
94,"$200,000.00",16712000.00,2.00,5000 S Cornell Ave Unit 8D, Chicago,IL,60615
95,"$385,000.00",32170600.00,1.00,2020 N Lincoln Park West Unit 7G, Chicago,IL,60614
96,"$180,000.00",15040800.00,2.00,7224 W Wrightwood Ave #106, Elmwood Park,IL,60707
97,"$185,000.00",15458600.00,2.00,8517 W Rascher Ave Unit 3E, Chicago,IL,60656
98,"$222,000.00",18550320.00,0.00,1030 N State St Unit 13M, Chicago,IL,60610
99,"$210,900.00",17622804.00,1.00,3600 N Lake Shore Dr #2611, Chicago,IL,60613
100,"$229,000.00",19135240.00,1.00,4250 N Marine Dr #1531, Chicago,IL,60613
101,"$169,900.00",14196844.00,2.00,7332 N Winchester Ave Unit 2N, Chicago,IL,60626
102,"$530,000.00",44286800.00,4.00,924 E 46th St #2, Chicago,IL,60653
103,"$250,000.00",20890000.00,2.00,Sign in for address, Chicago,IL,60613
104,"$1,349,000.00",112722440.00,4.00,2773 N Hampden Ct #504, Chicago,IL,60614
105,"$1,950,000.00",162942000.00,3.00,21 E Huron St #3704, Chicago,IL,60611
106,"$625,000.00",52225000.00,2.00,600 N Lake Shore Dr #2209, Chicago,IL,60611
107,"$299,000.00",24984440.00,1.00,4404 N Malden Ave #2, Chicago,IL,60640
108,"$449,900.00",37593644.00,1.00,400 E Randolph St #2517, Chicago,IL,60601
109,"$345,000.00",28828200.00,1.00,111 S Morgan St #416, Chicago,IL,60607
110,"$149,900.00",12525644.00,1.00,2409 W Balmoral Ave Unit 3F, Chicago,IL,60625
111,"$1,195,000.00",99854200.00,3.00,16 N Carpenter St Unit 2S, Chicago,IL,60607
112,"$340,000.00",28410400.00,1.00,123 S Green St Unit 310B, Chicago,IL,60607
113,"$440,000.00",36766400.00,2.00,33 W Ontario St Unit 32A, Chicago,IL,60654
114,"$410,000.00",34259600.00,1.00,160 E Illinois St #1505, Chicago,IL,60611
115,"$1,250,000.00",104450000.00,3.00,680 N Lake Shore Dr #1006, Chicago,IL,60611
116,"$679,000.00",56737240.00,3.00,1631 S Carpenter St #1, Chicago,IL,60608
117,"$355,000.00",29663800.00,2.00,2734 N Kimball Ave #3, Chicago,IL,60647
118,"$989,900.00",82716044.00,3.00,236 S Racine Ave #401, Chicago,IL,60607
119,"$675,000.00",56403000.00,3.00,750 N Noble St Unit F, Chicago,IL,60642
120,"$275,000.00",22979000.00,2.00,801 S Plymouth Ct #306, Chicago,IL,60605
121,"$230,000.00",19218800.00,1.00,260 E Chestnut St #1411, Chicago,IL,60611
122,"$875,000.00",73115000.00,4.00,1615 N Fairfield Ave #1, Chicago,IL,60647
123,"$450,000.00",37602000.00,2.00,1872 N Clybourn Ave #202, Chicago,IL,60614
124,"$181,900.00",15199564.00,1.00,4228 N Keystone Ave Unit 1B, Chicago,IL,60641
125,"$235,000.00",19636600.00,1.00,3550 N Lake Shore Dr #1606, Chicago,IL,60657
126,"$169,900.00",14196844.00,1.00,4624 N Commons Dr Unit 301E, Chicago,IL,60656
127,"$299,500.00",25026220.00,2.00,1400 N State Pkwy Unit 10F, Chicago,IL,60610
128,"$1,499,999.00",125339916.44,3.00,1017 W Washington Blvd Unit 7APH, Chicago,IL,60607
129,"$525,000.00",43869000.00,3.00,1525 N Wicker Park Ave #1, Chicago,IL,60622
130,"$45,000.00",3760200.00,2.00,917 E 78th St Unit 102E, Chicago,IL,60619
131,"$1,025,000.00",85649000.00,3.00,1543 N Wieland St #1, Chicago,IL,60610
132,"$337,000.00",28159720.00,1.00,155 N Harbor Dr #5306, Chicago,IL,60601
133,"$199,000.00",16628440.00,3.00,1756 W 35th St Unit 3F, Chicago,IL,60609
134,"$475,000.00",39691000.00,3.00,6007 N Sheridan Rd Unit 31J, Chicago,IL,60660
135,"$850,000.00",71026000.00,2.00,203 S Sangamon St #220, Chicago,IL,60607
136,"$154,900.00",12943444.00,0.00,5415 N Sheridan Rd #4912, Chicago,IL,60640
137,"$569,900.00",47620844.00,2.00,2511 W Moffat St #402, Chicago,IL,60647
138,"$675,000.00",56403000.00,3.00,630 N State St #2301, Chicago,IL,60654
139,"$254,900.00",21299444.00,2.00,500 S Clinton St #342, Chicago,IL,60607
140,"$550,000.00",45958000.00,2.00,737 W Washington Blvd #2210, Chicago,IL,60661
141,"$799,000.00",66764440.00,3.00,1076 N Marshfield Ave #1, Chicago,IL,60622
142,"$205,000.00",17129800.00,1.00,535 N Michigan Ave #2212, Chicago,IL,60611
143,"$575,000.00",48047000.00,2.00,195 N Harbor Dr #5104, Chicago,IL,60601
144,"$315,000.00",26321400.00,2.00,3930 N Pine Grove Ave #2603, Chicago,IL,60613
145,"$514,000.00",42949840.00,2.00,1712 W Beach Ave #2, Chicago,IL,60622
146,"$285,000.00",23814600.00,1.00,111 E Chestnut St Unit 26B, Chicago,IL,60611
147,"$695,000.00",58074200.00,3.00,1102 N Marshfield Ave Unit 1E, Chicago,IL,60622
148,"$170,000.00",14205200.00,1.00,6171 N Sheridan Rd #504, Chicago,IL,60660
149,"$815,000.00",68101400.00,3.00,1372 N Dean St #2, Chicago,IL,60622
150,"$300,000.00",25068000.00,2.00,3012 W Addison St Unit 4S, Chicago,IL,60618
151,"$819,000.00",68435640.00,3.00,2831 N Halsted St Unit 3S, Chicago,IL,60657
152,"$800,000.00",66848000.00,2.00,525 W Superior St #627, Chicago,IL,60654
153,"$269,900.00",22552844.00,3.00,1620 W Wallen Ave Unit 3N, Chicago,IL,60626
154,"$2,150,000.00",179654000.00,3.00,451 E Grand Ave #4303, Chicago,IL,60611
155,"$299,900.00",25059644.00,2.00,1527 W Fargo Ave Unit 1E, Chicago,IL,60626
156,"$465,000.00",38855400.00,2.00,720 N Larrabee St #1506, Chicago,IL,60610
157,"$2,750,000.00",229790000.00,3.00,950 N Michigan Ave #4904, Chicago,IL,60611
158,"$349,900.00",29237644.00,2.00,5901 N Sheridan Rd Unit 6B, Chicago,IL,60660
159,"$240,000.00",20054400.00,1.00,1528 S Wabash Ave #409, Chicago,IL,60605
160,"$178,800.00",14940528.00,1.00,5701 N Sheridan Rd Unit 25E, Chicago,IL,60660
161,"$459,000.00",38354040.00,2.00,725 N Aberdeen St #609, Chicago,IL,60642
162,"$185,000.00",15458600.00,2.00,4915 N Avers Ave Unit 2CS, Chicago,IL,60625
163,"$515,000.00",43033400.00,3.00,5909 N Winthrop Ave Unit 1N, Chicago,IL,60660
164,"$164,999.00",13787316.44,2.00,4815 W Roscoe St Unit 2S, Chicago,IL,60641
165,"$694,000.00",57990640.00,4.00,1116 W North Shore Ave #1, Chicago,IL,60626
166,"$599,900.00",50127644.00,2.00,1325 N State Pkwy Unit 18E, Chicago,IL,60610
167,"$565,000.00",47211400.00,3.00,2065 N Kedzie Ave #214, Chicago,IL,60647
168,"$259,900.00",21717244.00,1.00,1255 N Sandburg Ter Unit 2806E, Chicago,IL,60610
169,"$875,000.00",73115000.00,2.00,150 W Superior St #1104, Chicago,IL,60654
170,"$699,000.00",58408440.00,2.00,1017 W Washington Blvd Unit 5C, Chicago,IL,60607
171,"$185,000.00",15458600.00,2.00,4640 N Albany Ave Unit 1N, Chicago,IL,60625
